page_title	algoritme	rater1	rater2	rater3
てとてトライオン!	c	c	c	c
シグナス_(宇宙船)	w	w	w	w
FTA	w	w	w	w
富邦銀行	w	w	w	w
適材適所	c	c	c	c
サロペットスカート	w	w	w	w
COMSUBIN	w	w	w	w
1998年のアメリカンリーグチャンピオンシップシリーズ	w	w	w	w
高橋文五郎	c	c	c	c
高輝度蓄光式避難誘導板	c	c	c	w
森欣司	c	c	c	c
血管内皮細胞増殖因子	w	w	w	w
CONFUSION	c	c	c	c
日曜日_(back_numberの曲)	c	c	c	c
ニールス・ユール_(海防戦艦)	w	w	w	w
飯盛挺造	c	c	c	c
F01HW	c	c	w	c
心が叫びたがってるんだ。	c	c	c	c
山上路夫	c	c	c	c
土曜時代劇	w	c	c	c
日本機関紙協会	c	c	c	c
THE_野球	c	c	c	c
抑言法	w	w	w	w
Ã	w	w	w	w
岡田安弘	w	c	c	c
FNS番組対抗!なるほど!ザ・春秋の祭典スペシャル	c	c	c	c
市村涼風	c	c	c	c
渡辺俊一	c	c	c	c
ハイドロニューマチック・サスペンション	w	w	w	w
福岡県道84号三潴上陽線	c	c	c	c
劇団ポプラ	c	c	c	c
長田和彦	c	c	c	c
花山院定好	c	c	c	c
エフゲニー・カフェルニコフ	w	w	w	w
蠣崎舜広	c	c	c	c
ブレーメン州	w	w	w	w
DJ_Min	c	c	c	c
瀘渓県	w	w	w	w
御子柴克彦	c	c	c	c
コントロール_(言語学)	w	w	w	w
島牧村	w	c	c	c
イーサーン_(ミュージシャン)	w	w	w	w
オレクサンドル・バガチ	w	w	w	w
豊潤区	w	w	w	w
戦争要論	c	c	c	c
東引郷	w	w	w	w
JBLスーパーリーグ_2004-05	c	c	c	c
径山寺	w	w	c	w
ドイツの市外局番	w	w	w	w
がやリン	c	c	c	c
火の路	c	c	c	c
正親町三条実有	c	c	c	c
青野勝	c	c	c	c
ファブリス・アルセビアデス・マイエコ	w	w	w	w
偶然の確率	c	c	c	c
THE_ZETT	c	c	c	c
アメリカン・モーターズ	w	w	w	w
エスコート_(エアソフトガン)	c	c	c	c
朗屏駅	w	w	w	w
ゴー・マイ・ウェイ	w	c	c	w
国技館	w	c	c	c
アレクシア・ランドー	w	w	w	w
Dry_Town_〜Theme_of_Zero〜/Shadow_behind	c	c	c	w
中学時代	c	c	c	c
サワチ郡_(コロラド州)	w	w	w	w
入好さとる	c	c	c	c
ケイ抱朴	w	w	w	w
PL学園中学校・高等学校	c	c	c	c
フランチシェク・ヤンダ・スゥク	w	w	w	w
フラッシュモブ	w	w	w	w
コルド・ミチェレナ	w	w	w	w
ライヒェンベルク	w	w	w	w
いいはなシーサー	c	c	c	c
餌取章男	c	c	c	c
Galaxias!	c	c	c	c
グスタフ・キルヒホフ	w	w	w	w
数研出版	c	c	c	c
玉津島砦	c	c	c	c
大和田城	c	c	c	c
4つの即興曲D899	w	w	w	w
気	c	w	w	w
冷や汁	c	c	c	c
べん子内親王	c	c	c	c
笠井健太	c	c	c	c
船戸順	c	c	c	c
松倉村	c	c	c	c
65537	w	w	w	w
銀河鉄道な夜	c	c	c	c
太田町_(岐阜県)	c	c	c	c
爆笑ゴールデンショー	c	c	c	c
越前康継	c	c	c	c
山代立岩中継局	c	c	c	c
轟II	c	c	c	c
マウノ・コイヴィスト	w	w	w	w
福井県道154号高柳矢地線	c	c	c	c
リジー・ガーディナー	w	w	w	w
つる_-鶴-	c	c	c	c
ティンドゥッカル県	w	w	w	w
李昇ヨプ	w	c	c	c
1/35スケール	c	w	c	c
南陽町	c	c	c	c
北波多インターチェンジ	c	c	c	c
生息地	w	w	w	w
加藤和恵_(女優)	c	c	c	c
佐藤ローラ	c	c	c	c
丘寵児	c	c	c	c
セドリック・ジ・エンターテイナー	w	w	w	w
佐橋佳幸	c	c	c	c
中村祐介	c	c	c	c
ミハイル・プレトニョフ	w	w	w	w
光散乱	w	w	w	w
豊前川崎駅	c	c	c	c
ヒト顆粒球アナプラズマ症	w	w	w	w
バラ・タウンFC	w	w	w	w
ウォレウ・ンテム州	w	w	w	w
日本工業規格（繊維）の一覧	c	c	c	c
メルヴィル島_(カナダ)	w	w	w	w
国道ささめ雪	c	c	c	c
カーナーヴォン城	w	w	w	w
エドウイン	c	c	c	c
寺田農	c	c	c	c
エクセリオン_(曖昧さ回避)	w	w	w	w
渭南	c	c	c	w
マリオン・デ・ラ・アソンション	c	c	c	c
マックス・シエリオット	w	w	w	w
板東孝明	c	c	c	c
盲目のもの	w	w	w	w
