page_title	algoritme	rater1	rater2	rater3
Super_Rugby_2011	w	w	w	w
Blitzableiterturm	w	w	w	w
Casper_(Kater)	w	w	w	w
Institut_für_Umwelt-_und_Technikrecht	c	c	c	c
Deutscher_Seesportverband	c	c	c	c
Jacob_Goldwasser	w	w	w	w
Aaron_Hobart	w	w	w	w
Bauernhof_Altlindenau_33_(Radebeul)	c	c	c	c
Staffanstorp	w	w	w	w
Calfreisen	c	c	c	c
Dore_Dreysel	c	c	c	c
Liste_von_Segelzeichen	w	w	w	w
Jonathan_Harvey	w	w	w	w
Ceropegia_bhatii	w	w	w	w
Berne	c	c	c	c
Baix_Empordà	w	w	w	w
Einwohnerentwicklung_von_Villingen-Schwenningen	c	c	c	c
Stefan_Grüttner	c	c	c	c
Kreisverkehrsgesellschaft_Mettmann	c	c	c	c
Johann_Heinrich_Kaltenbach	c	c	c	c
William_Peacock	w	w	w	w
Rodderberg	c	c	c	c
Margaret_Colin	w	w	w	w
Orplid_(FKK)	w	c	c	c
Adelheidstraße_1_(Quedlinburg)	c	c	c	c
Eynern_(Adelsgeschlecht)	c	c	c	c
LokalSAT	c	c	c	c
Serrahn_(Kuchelmiß)	c	c	c	c
Gasthaus_Rose_(Untergruppenbach)	c	c	c	c
Feidong	w	w	w	w
Heinz_Schanz	c	c	c	c
Nachtschicht_–_Blutige_Stadt	c	c	c	c
Deutsche_Unterwasser-Rugby-Meisterschaft	c	c	c	c
Brian_Kilby	w	w	w	w
Michael_G._Hagerty	w	w	w	w
Sascha_Kraus	c	c	c	c
Nikolaus_Alard	c	c	c	c
Greg_Squires	w	w	w	w
Jochen_Schmidt_(Germanist)	c	c	c	c
Muskelatrophie	w	w	w	w
Erich_Spindelegger	c	c	c	c
Dorndorf_(Krayenberggemeinde)	c	c	c	c
Bahnhof_Berlin_Storkower_Straße	c	c	c	c
Horná_Štubňa	w	w	w	w
Sander_Puri	w	w	w	w
Engraulinae	w	w	w	w
Rüdiger_Vogler	c	c	c	c
Marcet	w	w	w	w
Zeche_Nachtigall	w	c	c	c
EN_60601-2-4	w	c	w	w
Arno_Kriegsheim	c	c	c	c
Daniel_Heuer_Fernandes	c	c	c	c
Liste_der_Baudenkmale_in_Carpin	c	c	c	c
